,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
154,Brooks Koepka,2018,64,69.444,2.0,5.0,2012.0,56.85,313.4,68.28,63.28,0.168,0.658,0.232,1.22,"$7,094,047 "
155,Sung Kang,2018,89,71.954,0,2.0,480.0,56.72,293.1,63.2,52.4,-0.235,-0.488,-0.094,-1.041,"$1,243,309 "
156,Scott Stallings,2018,96,70.719,0,2.0,470.0,56.57,299.7,65.62,60.86,-0.07,-0.008,0.373,0.27,"$1,147,573 "
157,Shawn Stefani,2018,76,71.192,0,1.0,268.0,56.52,299.6,67.49,58.43,-0.034,-0.093,0.22,0.107,"$523,204 "
158,Robert Garrigus,2018,80,71.457,0,1.0,353.0,56.37,307.9,65.28,56.84,-0.569,0.21,0.331,-0.213,"$702,030 "
159,Nick Watney,2018,94,70.862,0,1.0,491.0,56.33,307.5,67.96,55.68,0.2,0.17,0.141,0.343,"$1,402,833 "
160,Rob Oppenheim,2018,74,71.532,0,0,148.0,56.26,285.2,64.05,59.55,0.045,-0.662,0.026,-0.542,"$279,019 "
161,Grayson Murray,2018,72,72.091,0,2.0,438.0,56.0,307.3,62.5,54.32,-0.35,0.375,-0.347,-0.336,"$1,056,628 "
162,Rory McIlroy,2018,64,69.303,1.0,5.0,1154.0,55.79,319.7,66.3,62.97,0.06,0.761,0.269,1.412,"$4,410,296 "
163,Dominic Bozzelli,2018,65,71.179,0,0,190.0,55.69,297.0,60.94,58.86,0.308,-0.244,-0.252,-0.055,"$391,634 "
164,Patton Kizzire,2018,92,70.841,2.0,4.0,1386.0,55.59,298.7,69.04,55.24,0.03,-0.294,0.381,-0.033,"$3,541,151 "
165,Matt Every,2018,79,72.044,0,1.0,113.0,55.5,294.2,64.59,52.51,-0.364,-0.437,-0.024,-1.139,"$299,162 "
166,Cody Gribble,2018,71,72.112,0,0,141.0,55.45,301.0,62.48,53.3,0.201,-0.212,-0.696,-0.819,"$302,593 "
167,Wesley Bryan,2018,69,71.552,0,0,219.0,55.41,280.4,61.28,60.17,0.36,-1.443,0.222,-0.454,"$498,166 "
168,Lanto Griffin,2018,80,71.145,0,0,175.0,55.27,302.5,67.42,55.76,-0.096,-0.046,-0.043,-0.268,"$358,380 "
169,Retief Goosen,2018,60,71.409,0,1.0,261.0,55.22,296.2,61.75,56.98,-0.411,-0.392,0.389,-0.497,"$545,364 "
170,Seamus Power,2018,86,70.869,0,2.0,377.0,55.19,302.6,65.17,63.8,0.498,0.076,-0.392,0.178,"$791,018 "
171,Charl Schwartzel,2018,65,71.349,0,3.0,528.0,55.19,299.5,61.11,57.88,0.081,-0.035,-0.168,-0.195,"$1,710,179 "
172,Patrick Reed,2018,94,70.106,1.0,7.0,1555.0,55.11,298.1,63.57,62.94,0.164,0.051,0.187,0.947,"$5,006,267 "
173,Tony Finau,2018,105,69.52,0,8.0,1509.0,55.09,315.1,70.18,57.22,0.232,0.481,0.5,1.435,"$5,620,138 "
174,Trey Mullinax,2018,75,70.815,0,3.0,528.0,54.94,318.3,65.38,54.42,0.072,0.506,-0.442,-0.072,"$1,184,245 "
175,Martin Flores,2018,92,71.458,0,0,215.0,54.92,300.0,66.34,54.89,-0.289,-0.097,-0.083,-0.567,"$449,266 "
176,Michael Kim,2018,74,71.662,1.0,1.0,675.0,54.89,289.9,60.63,56.05,0.259,-1.023,-0.213,-1.003,"$1,379,736 "
177,Brandon Harkins,2018,101,70.721,0,3.0,528.0,54.79,303.1,65.67,55.88,0.225,0.181,-0.006,0.275,"$1,148,115 "
178,Zecheng Dou,2018,53,72.773,0,0,21.0,54.76,291.9,63.72,51.56,-0.667,-0.079,-0.265,-1.198,"$90,993 "
179,Tom Lovelady,2018,87,71.252,0,2.0,332.0,54.73,315.9,67.08,52.08,-0.049,0.379,-0.24,-0.19,"$700,783 "
180,Daniel Summerhays,2018,51,73.177,0,1.0,89.0,54.69,287.1,56.79,54.86,0.736,-0.977,-1.586,-2.105,"$234,510 "
181,Luke List,2018,98,70.229,0,5.0,1080.0,54.66,314.6,68.36,58.41,-0.467,0.795,0.194,0.87,"$2,710,736 "
182,Robert Streb,2018,78,71.905,0,1.0,155.0,54.11,292.6,64.94,52.89,-0.081,-0.68,0.096,-0.581,"$411,606 "
183,Andrew Yun,2018,51,73.624,0,0,16.0,53.58,290.6,61.85,44.01,-0.6,-0.457,-0.447,-1.936,"$41,566 "
184,Jimmy Walker,2018,81,70.786,0,4.0,719.0,53.49,299.0,61.9,59.09,0.324,-0.437,0.304,0.357,"$2,027,312 "
185,Aaron Baddeley,2018,84,70.85,0,1.0,342.0,53.27,295.3,63.39,61.09,-0.057,-0.345,0.117,0.309,"$725,928 "
