,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
68,Jordan Spieth,2019,82,70.453,,3,605.0,53.12,295.2,62.80,62.00,.862,-.452,-.198,.459,"$2,124,192"
70,Bubba Watson,2019,65,70.710,,3,572.0,58.13,311.6,66.76,57.35,-.344,.743,-.052,.281,"$1,558,014"
71,Troy Merritt,2019,69,70.950,,4,569.0,66.43,293.3,68.85,58.77,.085,-.054,.366,.421,"$1,531,143"
72,Charley Hoffman,2019,74,71.361,,2,567.0,58.26,295.6,66.51,54.27,-.158,.049,.396,.057,"$1,468,855"
73,Joaquin Niemann,2019,98,70.621,,4,566.0,61.72,301.5,68.06,60.33,-.170,.338,.484,.670,"$1,434,519"
74,Matt Every,2019,49,70.852,,2,561.0,62.13,294.6,66.67,54.88,.186,.044,.020,.150,"$1,413,149"
75,Kiradech Aphibarnrat,2019,65,70.911,,3,558.0,63.25,292.4,61.65,64.02,.337,-.015,-.433,.083,"$1,630,073"
76,Tyrrell Hatton,2019,62,70.585,,3,555.0,62.96,296.6,66.28,54.55,-.192,.176,.218,.489,"$1,517,396"
77,Brian Stuard,2019,98,70.999,,3,547.0,71.09,276.6,64.89,64.31,.176,-.239,.266,.393,"$1,320,637"
78,Cameron Smith,2019,79,70.814,,3,547.0,59.36,294.2,63.66,60.74,.157,-.123,.004,.324,"$1,504,820"
79,Jhonattan Vegas,2019,75,70.765,,3,538.0,58.93,308.3,69.29,57.54,-.156,.753,.219,.626,"$1,566,910"
80,Russell Henley,2019,78,70.874,,1,534.0,69.33,287.7,68.10,62.69,-.299,.137,.334,.167,"$1,133,773"
81,Chesson Hadley,2019,76,71.453,,3,532.0,59.75,297.6,64.64,59.66,.230,-.336,.231,-.128,"$1,405,632"
